Sample Count,Green1 Count,Green2 Count,Acceleration X (g),Acceleration Y (g),Acceleration Z (g),Heart Rate (bpm),HR Confidence (%),Activity
3235,262570,406932,-1.005,0.913,0.812,170,33,RUN
3236,263340,406024,-0.187,0.912,0.271,170,33,RUN
3237,264611,405826,0.401,0.954,-0.085,170,33,RUN
3238,266276,405564,0.621,0.949,-0.245,170,33,RUN
3239,266294,405375,0.594,0.947,-0.29,169,32,RUN
3240,265691,404451,0.327,1.089,-0.292,169,32,RUN
3241,265940,403214,-1.063,1.952,0.371,169,32,RUN
3242,261238,399894,-2.535,2.637,1.193,169,32,RUN
3243,257711,395676,-2.516,1.906,1.229,169,32,RUN
3244,261033,401498,-1.722,0.766,0.967,169,32,RUN
3245,263614,404925,-0.944,0.032,0.645,169,32,RUN
3246,266128,406308,-0.468,-0.486,0.324,169,32,RUN
3247,266422,407037,-0.167,-0.948,0.093,169,32,RUN
3248,267842,408826,-0.003,-1.104,0.06,169,32,RUN
3249,268297,409402,-0.053,-0.912,0.159,169,32,RUN
3250,268532,410334,-0.893,-0.404,0.845,169,32,RUN
3251,266355,406736,-2.111,0.577,1.745,169,32,RUN
3252,262260,404094,-2.351,1.141,1.954,169,32,RUN
3253,264587,405776,-1.785,0.94,1.559,169,32,RUN
3254,266755,408061,-1.056,0.643,0.89,169,32,RUN
3255,268777,408588,-0.217,0.583,0.309,169,32,RUN
3256,269898,408592,0.481,0.827,-0.174,169,32,RUN
3257,272084,407588,0.839,1.02,-0.523,169,32,RUN
3258,275850,405940,0.81,1.093,-0.563,169,32,RUN
3259,273318,403710,0.199,1.331,-0.392,169,32,RUN
3260,272808,404227,-1.217,2.098,0.357,169,32,RUN
3261,266384,403047,-2.476,2.55,1.281,169,32,RUN
3262,264966,404502,-2.433,1.864,1.488,169,32,RUN
3263,266357,405940,-1.598,0.864,1.202,169,32,RUN
3264,267567,406069,-0.798,0.066,0.804,169,32,RUN
3265,266695,404098,-0.315,-0.553,0.454,169,32,RUN
3266,265450,401657,-0.108,-1.045,0.156,169,32,RUN
3267,263318,398654,-0.025,-1.208,0.06,169,32,RUN
3268,260636,393132,-0.114,-1.04,0.15,169,32,RUN
3269,260500,390545,-0.892,-0.699,0.656,168,32,RUN
3270,260991,390466,-2.37,0.235,1.483,168,32,RUN
3271,261599,390258,-2.921,1.048,1.836,168,32,RUN
3272,262062,390111,-2.207,1.191,1.517,168,32,RUN
3273,262895,390457,-1.291,1.199,0.928,168,32,RUN
3274,264002,391301,-0.306,1.182,0.329,168,32,RUN
3275,264950,392366,0.45,1.18,-0.163,168,32,RUN
3276,264755,392352,0.766,1.161,-0.405,168,32,RUN
3277,265424,393477,0.764,1.156,-0.402,168,32,RUN
3278,265419,393391,0.168,1.344,-0.368,168,32,RUN
3279,264820,392726,-1.269,2.037,0.28,168,32,RUN
3280,265586,392629,-2.448,2.476,1.088,168,32,RUN
3281,266093,392501,-2.399,1.858,1.105,168,32,RUN
3282,268426,395567,-1.647,0.903,0.833,168,32,RUN
3283,272291,399694,-0.871,0.144,0.611,168,32,RUN
3284,275801,401698,-0.392,-0.494,0.435,168,32,RUN
