Sample Count,Acceleration X (g),Acceleration Y (g),Acceleration Z (g),Heart Rate (bpm),Activity
165,-0.544,0.62,0.557,61,3
166,-0.542,0.624,0.54,61,3
167,-0.592,0.609,0.535,61,3
168,-0.605,0.611,0.574,61,3
169,-0.514,0.633,0.591,61,3
170,-0.473,0.651,0.594,61,3
171,-0.479,0.679,0.576,61,3
172,-0.468,0.712,0.519,61,3
173,-0.465,0.723,0.505,61,3
174,-0.456,0.726,0.538,61,3
175,-0.413,0.731,0.545,61,3
176,-0.387,0.734,0.529,61,3
177,-0.392,0.741,0.515,61,3
178,-0.393,0.745,0.503,61,3
179,-0.409,0.733,0.512,62,3
180,-0.455,0.698,0.535,62,3
181,-0.498,0.651,0.553,62,3
182,-0.497,0.636,0.578,62,3
183,-0.506,0.643,0.59,62,3
184,-0.554,0.612,0.6,62,3
185,-0.554,0.59,0.609,62,3
186,-0.555,0.597,0.59,62,3
187,-0.578,0.593,0.574,62,3
188,-0.578,0.595,0.568,62,3
189,-0.559,0.623,0.54,62,3
190,-0.539,0.653,0.533,62,3
191,-0.528,0.649,0.572,62,3
192,-0.519,0.649,0.567,62,3
193,-0.506,0.681,0.506,62,3
194,-0.477,0.714,0.456,62,3
195,-0.465,0.732,0.442,62,3
196,-0.468,0.743,0.46,62,3
197,-0.484,0.734,0.472,62,3
198,-0.536,0.694,0.484,62,3
199,-0.568,0.652,0.532,63,3
200,-0.552,0.627,0.559,63,3
201,-0.538,0.634,0.545,63,3
202,-0.556,0.609,0.52,63,3
203,-0.575,0.567,0.563,63,3
204,-0.525,0.618,0.631,63,3
205,-0.519,0.657,0.624,63,3
206,-0.588,0.617,0.617,63,3
207,-0.56,0.649,0.604,63,3
208,-0.517,0.831,0.578,63,3
209,-0.465,1.017,0.608,63,3
210,-0.399,1.177,0.556,63,3
211,-0.332,1.166,0.48,63,3
212,-0.282,0.887,0.486,63,3
213,-0.272,0.6,0.434,63,3
214,-0.175,0.426,0.272,63,3
215,-0.057,0.384,0.193,63,3
216,0.003,0.482,0.396,63,3
217,-0.116,0.66,0.644,63,3
218,-0.375,0.826,0.773,63,3
219,-0.702,0.927,0.759,63,3
220,-1.1,0.916,0.695,63,3
221,-1.295,0.806,0.635,63,3
222,-1.223,0.72,0.506,63,3
223,-1.097,0.666,0.418,63,3
224,-1.083,0.614,0.372,63,3
225,-1.156,0.552,0.317,63,3
226,-1.151,0.487,0.289,63,3
227,-0.984,0.45,0.254,63,3
228,-0.792,0.42,0.23,63,3
229,-0.735,0.411,0.254,64,3
230,-0.795,0.422,0.282,64,3
231,-0.884,0.385,0.307,64,3
232,-0.862,0.284,0.285,64,3
233,-0.741,0.219,0.194,64,3
234,-0.615,0.181,0.117,64,3
235,-0.504,0.098,0.135,64,3
236,-0.478,0.017,0.239,64,3
237,-0.544,-0.024,0.391,64,3
238,-0.67,-0.016,0.545,64,3
239,-0.871,0.008,0.653,64,3
240,-1.06,0.071,0.67,64,3
241,-1.2,0.191,0.699,64,3
242,-1.232,0.235,0.721,64,3
243,-1.098,0.223,0.614,64,3
244,-0.942,0.302,0.445,64,3
245,-0.84,0.453,0.249,64,3
246,-0.738,0.564,0.128,64,3
247,-0.62,0.585,0.16,64,3
248,-0.594,0.59,0.24,64,3
249,-0.763,0.648,0.369,65,3
250,-0.925,0.641,0.502,65,3
251,-0.952,0.552,0.51,65,3
252,-0.962,0.47,0.444,65,3
253,-0.936,0.393,0.403,65,3
254,-0.903,0.374,0.367,65,3
255,-0.93,0.442,0.344,65,3
256,-0.973,0.53,0.418,65,3
257,-1.032,0.612,0.517,65,3
258,-1.01,0.697,0.586,65,3
259,-0.878,0.771,0.609,65,3
260,-0.93,0.833,0.562,65,3
261,-0.956,0.761,0.492,65,3
262,-0.785,0.582,0.376,65,3
263,-0.636,0.431,0.232,65,3
264,-0.598,0.393,0.113,65,3
265,-0.61,0.453,-0.004,65,3
266,-0.565,0.551,-0.116,65,3
267,-0.533,0.628,-0.16,65,3
268,-0.506,0.599,-0.095,65,3
269,-0.464,0.518,0.043,65,3
270,-0.468,0.451,0.142,65,3
271,-0.478,0.422,0.149,65,3
272,-0.438,0.483,0.124,65,3
273,-0.426,0.698,0.101,65,3
274,-0.476,1.01,0.061,65,3
275,-0.494,1.393,-0.007,65,3
276,-0.395,1.633,-0.114,65,3
277,-0.269,1.679,-0.178,65,3
278,-0.219,1.684,-0.188,65,3
279,-0.224,1.584,-0.208,65,3
280,-0.243,1.404,-0.241,65,3
281,-0.27,1.149,-0.264,65,3
282,-0.281,0.915,-0.212,65,3
283,-0.25,0.792,-0.16,65,3
284,-0.23,0.736,-0.139,65,3
285,-0.232,0.73,-0.107,65,3
286,-0.233,0.762,-0.059,65,3
287,-0.241,0.798,0,65,3
288,-0.26,0.802,0.012,65,3
289,-0.292,0.823,-0.008,65,3
290,-0.329,0.865,-0.011,65,3
291,-0.382,0.893,-0.009,65,3
292,-0.444,0.88,0.011,65,3
293,-0.492,0.87,0.074,65,3
294,-0.516,0.915,0.068,65,3
295,-0.526,0.981,0.007,65,3
296,-0.533,1.094,0.014,65,3
297,-0.507,1.209,0.001,65,3
298,-0.459,1.189,-0.051,65,3
299,-0.441,1.058,-0.038,66,3
300,-0.419,0.942,-0.011,66,3
301,-0.364,0.84,-0.042,66,3
302,-0.32,0.764,-0.076,66,3
303,-0.304,0.742,-0.091,66,3
304,-0.305,0.709,-0.111,66,3
305,-0.311,0.649,-0.107,66,3
306,-0.345,0.626,-0.069,66,3
307,-0.427,0.669,-0.045,66,3
308,-0.51,0.748,-0.043,66,3
309,-0.545,0.87,-0.078,66,3
310,-0.53,1.022,-0.125,66,3
311,-0.483,1.203,-0.113,66,3
312,-0.406,1.382,-0.167,66,3
313,-0.312,1.455,-0.274,66,3
314,-0.176,1.417,-0.231,66,3
315,-0.028,1.3,-0.141,66,3
316,0.015,1.125,-0.134,66,3
317,0.006,0.961,-0.167,66,3
318,-0.011,0.874,-0.184,66,3
319,-0.078,0.862,-0.179,67,3
320,-0.208,0.882,-0.18,67,3
321,-0.342,0.888,-0.153,67,3
322,-0.403,0.862,-0.112,67,3
323,-0.437,0.846,-0.102,67,3
324,-0.461,0.846,-0.08,67,3
325,-0.455,0.824,-0.039,67,3
326,-0.445,0.823,0.016,67,3
327,-0.434,0.871,0.095,67,3
328,-0.395,0.923,0.134,67,3
329,-0.358,0.991,0.14,67,3
330,-0.344,1.072,0.145,67,3
331,-0.334,1.122,0.109,67,3
332,-0.334,1.233,0.048,67,3
333,-0.338,1.385,-0.009,67,3
334,-0.311,1.319,-0.032,67,3
335,-0.271,1.114,-0.045,67,3
336,-0.25,0.961,-0.103,67,3
337,-0.215,0.844,-0.155,67,3
338,-0.172,0.78,-0.165,67,3
339,-0.166,0.771,-0.155,67,3
340,-0.192,0.774,-0.145,67,3
341,-0.224,0.757,-0.135,67,3
342,-0.248,0.754,-0.116,67,3
343,-0.263,0.786,-0.092,67,3
344,-0.271,0.83,-0.083,67,3
345,-0.286,0.876,-0.086,67,3
346,-0.298,0.945,-0.083,67,3
347,-0.304,1.071,-0.084,67,3
348,-0.312,1.211,-0.084,67,3
349,-0.301,1.334,-0.096,68,3
350,-0.254,1.429,-0.142,68,3
351,-0.195,1.44,-0.174,68,3
352,-0.143,1.316,-0.157,68,3
