Sample Count,Acceleration X (g),Acceleration Y (g),Acceleration Z (g),Heart Rate (bpm),Activity
158,-0.243,0.981,-0.087,60,4
159,-0.249,0.987,-0.088,60,4
160,-0.25,0.988,-0.083,60,4
161,-0.245,0.985,-0.076,60,4
162,-0.235,0.982,-0.074,60,4
163,-0.231,0.979,-0.073,60,4
164,-0.235,0.978,-0.075,60,4
165,-0.241,0.979,-0.081,60,4
166,-0.246,0.979,-0.078,60,4
167,-0.248,0.976,-0.074,60,4
168,-0.246,0.978,-0.074,60,4
169,-0.246,0.98,-0.076,61,4
170,-0.245,0.982,-0.082,61,4
171,-0.245,0.986,-0.084,61,4
172,-0.246,0.986,-0.081,61,4
173,-0.247,0.986,-0.08,61,4
174,-0.247,0.987,-0.08,61,4
175,-0.246,0.987,-0.082,61,4
176,-0.246,0.989,-0.084,61,4
177,-0.247,0.989,-0.085,61,4
178,-0.247,0.985,-0.083,61,4
179,-0.243,0.983,-0.081,61,4
180,-0.241,0.984,-0.081,61,4
181,-0.245,0.985,-0.08,61,4
182,-0.248,0.986,-0.08,61,4
183,-0.247,0.987,-0.081,61,4
184,-0.239,0.986,-0.081,61,4
185,-0.234,0.985,-0.078,61,4
186,-0.237,0.985,-0.074,61,4
187,-0.242,0.984,-0.074,61,4
188,-0.246,0.985,-0.074,61,4
189,-0.245,0.985,-0.074,61,4
190,-0.242,0.981,-0.072,61,4
191,-0.238,0.981,-0.067,61,4
192,-0.239,0.985,-0.063,61,4
193,-0.246,0.982,-0.061,61,4
194,-0.248,0.982,-0.064,61,4
195,-0.247,0.987,-0.066,61,4
196,-0.246,0.989,-0.061,61,4
197,-0.245,0.989,-0.055,61,4
198,-0.242,0.989,-0.055,61,4
199,-0.238,0.986,-0.059,61,4
200,-0.233,0.983,-0.061,61,4
201,-0.228,0.984,-0.061,61,4
202,-0.227,0.985,-0.059,61,4
203,-0.229,0.984,-0.058,61,4
204,-0.233,0.985,-0.059,61,4
205,-0.239,0.982,-0.06,61,4
206,-0.235,0.973,-0.071,61,4
207,-0.219,0.973,-0.089,61,4
208,-0.201,0.995,-0.083,61,4
209,-0.2,1.017,-0.05,61,4
210,-0.25,1.014,-0.024,61,4
211,-0.297,0.996,-0.04,61,4
212,-0.286,0.979,-0.073,61,4
213,-0.249,0.972,-0.09,61,4
214,-0.214,0.968,-0.077,61,4
215,-0.194,0.963,-0.049,61,4
216,-0.196,0.965,-0.039,61,4
217,-0.212,0.97,-0.05,61,4
218,-0.22,0.974,-0.072,61,4
219,-0.217,0.976,-0.083,61,4
220,-0.214,0.98,-0.079,61,4
221,-0.215,0.984,-0.07,61,4
222,-0.224,0.987,-0.066,61,4
223,-0.234,0.988,-0.069,61,4
224,-0.238,0.992,-0.079,61,4
225,-0.249,1.001,-0.085,61,4
226,-0.26,1.003,-0.081,61,4
227,-0.256,0.994,-0.076,61,4
228,-0.246,0.989,-0.081,61,4
229,-0.243,0.989,-0.09,62,4
230,-0.247,0.991,-0.092,62,4
231,-0.245,1,-0.088,62,4
232,-0.232,1.008,-0.092,62,4
233,-0.229,1,-0.075,62,4
234,-0.238,0.986,-0.046,62,4
235,-0.243,0.982,-0.045,62,4
