Sample Count,Acceleration X (g),Acceleration Y (g),Acceleration Z (g),Heart Rate (bpm),Activity
2196,-0.207,0.802,0.143,109,1
2197,-0.225,0.882,0.144,109,1
2198,-0.25,1.018,0.133,109,1
2199,-0.289,1.146,0.149,109,1
2200,-0.315,1.147,0.216,109,1
2201,-0.304,1.125,0.253,109,1
2202,-0.281,1.157,0.242,109,1
2203,-0.268,1.123,0.216,109,1
2204,-0.268,0.994,0.202,109,1
2205,-0.287,0.835,0.198,109,1
2206,-0.301,0.719,0.172,109,1
2207,-0.302,0.688,0.14,109,1
2208,-0.322,0.747,0.141,109,1
2209,-0.388,0.812,0.178,108,1
2210,-0.457,0.838,0.246,108,1
2211,-0.46,0.915,0.312,108,1
2212,-0.408,1.066,0.327,108,1
2213,-0.364,1.225,0.323,108,1
2214,-0.376,1.307,0.35,108,1
2215,-0.403,1.298,0.35,108,1
2216,-0.401,1.27,0.299,108,1
2217,-0.373,1.221,0.25,108,1
2218,-0.322,1.121,0.202,108,1
2219,-0.28,0.989,0.162,108,1
2220,-0.261,0.862,0.136,108,1
2221,-0.249,0.775,0.117,108,1
2222,-0.23,0.729,0.094,108,1
2223,-0.217,0.72,0.076,108,1
2224,-0.222,0.767,0.074,108,1
2225,-0.226,0.861,0.068,108,1
2226,-0.207,0.965,0.053,108,1
2227,-0.189,1.065,0.062,108,1
2228,-0.197,1.166,0.086,108,1
2229,-0.208,1.219,0.115,108,1
2230,-0.19,1.195,0.172,108,1
2231,-0.135,1.158,0.212,108,1
2232,-0.082,1.106,0.198,108,1
2233,-0.086,0.997,0.196,108,1
2234,-0.145,0.871,0.231,108,1
2235,-0.21,0.766,0.249,108,1
2236,-0.255,0.701,0.255,108,1
2237,-0.286,0.697,0.261,108,1
2238,-0.311,0.752,0.259,108,1
2239,-0.336,0.834,0.276,108,1
2240,-0.36,0.946,0.309,108,1
2241,-0.373,1.072,0.327,108,1
2242,-0.359,1.205,0.326,108,1
2243,-0.332,1.331,0.322,108,1
2244,-0.324,1.349,0.311,108,1
2245,-0.333,1.299,0.264,108,1
2246,-0.352,1.244,0.206,108,1
2247,-0.356,1.143,0.183,108,1
2248,-0.322,1.002,0.185,108,1
2249,-0.283,0.87,0.186,108,1
2250,-0.27,0.785,0.175,108,1
2251,-0.275,0.748,0.132,108,1
2252,-0.279,0.747,0.094,108,1
2253,-0.273,0.759,0.102,108,1
2254,-0.258,0.791,0.113,108,1
2255,-0.238,0.864,0.109,108,1
2256,-0.22,0.941,0.118,108,1
2257,-0.21,1.048,0.121,108,1
2258,-0.223,1.172,0.115,108,1
2259,-0.239,1.206,0.157,107,1
2260,-0.212,1.195,0.208,107,1
2261,-0.167,1.165,0.221,107,1
2262,-0.13,1.045,0.234,107,1
2263,-0.128,0.874,0.252,107,1
2264,-0.176,0.732,0.251,107,1
2265,-0.238,0.661,0.235,107,1
2266,-0.3,0.686,0.241,107,1
2267,-0.346,0.778,0.291,107,1
2268,-0.367,0.864,0.357,107,1
2269,-0.378,0.941,0.394,107,1
2270,-0.386,1.041,0.388,107,1
