Acceleration X (g),Acceleration Y (g),Acceleration Z (g),Heart Rate (bpm),Activity
-0.41,-0.91,-0.025,61,0
-0.407,-0.911,-0.024,61,0
-0.408,-0.912,-0.025,61,0
-0.408,-0.911,-0.022,61,0
-0.407,-0.906,-0.02,61,0
-0.409,-0.903,-0.021,61,0
-0.407,-0.907,-0.023,61,0
-0.401,-0.903,-0.025,61,0
-0.404,-0.894,-0.024,61,0
-0.414,-0.896,-0.016,61,0
-0.424,-0.906,-0.008,62,0
-0.432,-0.907,-0.007,62,0
-0.437,-0.901,-0.007,62,0
-0.433,-0.898,-0.01,62,0
-0.417,-0.905,-0.009,62,0
-0.409,-0.911,-0.008,62,0
-0.414,-0.909,-0.01,62,0
-0.415,-0.904,-0.01,62,0
-0.41,-0.904,-0.009,62,0
-0.409,-0.907,-0.01,62,0
-0.406,-0.909,-0.011,62,0
-0.401,-0.907,-0.009,62,0
-0.403,-0.904,-0.008,62,0
-0.409,-0.903,-0.01,62,0
-0.415,-0.903,-0.01,62,0
-0.42,-0.902,-0.009,62,0
-0.42,-0.9,-0.011,62,0
-0.416,-0.902,-0.013,62,0
-0.412,-0.903,-0.014,62,0
-0.41,-0.902,-0.013,62,0
-0.412,-0.903,-0.012,63,0
-0.413,-0.906,-0.013,63,0
-0.413,-0.906,-0.017,63,0
-0.411,-0.906,-0.021,63,0
-0.406,-0.905,-0.025,63,0
-0.405,-0.904,-0.026,63,0
-0.412,-0.906,-0.027,63,0
-0.412,-0.908,-0.027,63,0
-0.406,-0.908,-0.025,63,0
-0.403,-0.907,-0.025,63,0
-0.406,-0.909,-0.026,63,0
-0.405,-0.909,-0.027,63,0
-0.401,-0.908,-0.026,63,0
-0.402,-0.91,-0.023,63,0
-0.405,-0.91,-0.023,63,0
-0.403,-0.91,-0.026,63,0
-0.401,-0.914,-0.027,63,0
-0.401,-0.917,-0.025,63,0
-0.401,-0.918,-0.024,63,0
-0.398,-0.918,-0.028,63,0
-0.396,-0.915,-0.03,64,0
-0.397,-0.911,-0.028,64,0
-0.402,-0.912,-0.027,64,0
-0.406,-0.913,-0.031,64,0
